Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5701064400683044087096000818,0.570106440068304,0.567847286407942,0.570106440068304,0.567847286407942,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,350598
0.02,0,0.5056503803651682852798869217,0.505650380365168,0.503391226704806,0.505650380365168,0.503391226704806,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,701195.9
0.03,0,0.5027682439353872759585390292,0.502768243935387,0.500509090275025,0.502768243935387,0.500509090275025,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,1051794
0.04,0,0.4953721918462832514913324373,0.495372191846283,0.493113038185921,0.495372191846283,0.493113038185921,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,1402392
0.05,0,0.4875626743740594076449753184,0.487562674374059,0.485303520713698,0.487562674374059,0.485303520713698,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,1752990
0.06,0,0.4802638130746577192344869897,0.480263813074658,0.478004659414296,0.480263813074658,0.478004659414296,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,2103588
0.07,0,0.4736506863097316635152323878,0.473650686309732,0.47139153264937,0.473650686309732,0.47139153264937,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,2454186
0.08,0,0.4677015594264257702877639505,0.467701559426426,0.465442405766064,0.467701559426426,0.465442405766064,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,2804784
0.09,0,0.4623457940595235280363526460,0.462345794059524,0.460086640399162,0.462345794059524,0.460086640399162,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,3155382
0.10,0,0.4575072977343606678715807583,0.457507297734361,0.455248144073999,0.457507297734361,0.455248144073999,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,3505980
0.11,0,0.4531168654235790103550730448,0.453116865423579,0.450857711763217,0.453116865423579,0.450857711763217,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,3856578
0.12,0,0.4491151170067158042422095853,0.449115117006716,0.446855963346354,0.449115117006716,0.446855963346354,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,4207176
0.13,0,0.4454519946302469189239200932,0.445451994630247,0.443192840969885,0.445451994630247,0.443192840969885,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,4557774
0.14,0,0.4420855810565005600597158020,0.442085581056501,0.439826427396139,0.442085581056501,0.439826427396139,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,4908372
0.15,0,0.4389807960104144154210755272,0.438980796010414,0.436721642350053,0.438980796010414,0.436721642350053,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,5258970
0.16,0,0.4361080648265522323384780015,0.436108064826552,0.43384891116619,0.436108064826552,0.43384891116619,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,5609568
0.17,0,0.4334424662281754306650469624,0.433442466228175,0.431183312567814,0.433442466228175,0.431183312567814,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,5960166
0.18,0,0.4309628216531244644101716435,0.430962821653124,0.428703667992763,0.430962821653124,0.428703667992763,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,6310764
0.19,0,0.4273027506329296035336482975,0.42730275063293,0.425043596972568,0.42730275063293,0.425043596972568,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,6661362
0.20,0,0.4299861881099921466406710327,0.429986188109992,0.42772703444963,0.429986188109992,0.42772703444963,0,0,0,0,12.9092725977257,46.246850187805404511509568452,46.246850187805404511509568452,7011960
